id,params,result,time_s
39,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=1,smt.arith.nl.delay=6,smt.arith.nl.horner_frequency=5",unsat,6.14259
40,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=1,smt.arith.nl.delay=6,smt.arith.nl.horner_frequency=6",unsat,8.42951
41,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=1,smt.arith.nl.delay=7,smt.arith.nl.horner_frequency=2",unsat,8.20761
42,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=1,smt.arith.nl.delay=7,smt.arith.nl.horner_frequency=3",unsat,8.23292
43,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=1,smt.arith.nl.delay=7,smt.arith.nl.horner_frequency=4",unsat,8.56559
44,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=1,smt.arith.nl.delay=7,smt.arith.nl.horner_frequency=5",unsat,8.08848
45,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=1,smt.arith.nl.delay=7,smt.arith.nl.horner_frequency=6",unsat,9.09603
46,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=1,smt.arith.nl.delay=8,smt.arith.nl.horner_frequency=2",unsat,8.38282
47,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=1,smt.arith.nl.delay=8,smt.arith.nl.horner_frequency=3",unsat,8.09301
48,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=1,smt.arith.nl.delay=8,smt.arith.nl.horner_frequency=4",unsat,9.05539
49,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=1,smt.arith.nl.delay=8,smt.arith.nl.horner_frequency=5",unsat,7.92597
50,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=1,smt.arith.nl.delay=8,smt.arith.nl.horner_frequency=6",unsat,8.48334
51,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=1,smt.arith.nl.delay=9,smt.arith.nl.horner_frequency=2",unsat,8.04023
52,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=1,smt.arith.nl.delay=9,smt.arith.nl.horner_frequency=3",unsat,7.98994
53,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=1,smt.arith.nl.delay=9,smt.arith.nl.horner_frequency=4",unsat,8.11747
54,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=1,smt.arith.nl.delay=9,smt.arith.nl.horner_frequency=5",unsat,7.95257
55,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=1,smt.arith.nl.delay=9,smt.arith.nl.horner_frequency=6",unsat,8.29389
56,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=1,smt.arith.nl.delay=10,smt.arith.nl.horner_frequency=2",unsat,8.07946
57,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=1,smt.arith.nl.delay=10,smt.arith.nl.horner_frequency=3",unsat,8.35168
58,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=1,smt.arith.nl.delay=10,smt.arith.nl.horner_frequency=4",unsat,7.70735
59,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=1,smt.arith.nl.delay=10,smt.arith.nl.horner_frequency=5",unsat,8.36444
60,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=0,smt.arith.nl.tangents=1,smt.arith.nl.delay=10,smt.arith.nl.horner_frequency=6",unsat,8.01546
61,"smt.arith.nl.branching=0,smt.arith.nl.cross_nested=0,smt.arith.nl.expensive_patching=0,smt.arith.nl.gb=0,smt.arith.nl.horner=0,smt.arith.nl.optimize_bounds=0,smt.arith.nl.propagate_linear_monomials=1,smt.arith.nl.tangents=0,smt.arith.nl.delay=5,smt.arith.nl.horner_frequency=2",unsat,8.36026
